CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION,STREET_LABEL,STREET_ANSWER,STREET_CORRECTNESS,IS_CATEGORY_CORRECT,CATEGORY_ANSWER,RESPONSE
2020-09-18,4001 W CALUMET RD,Pothole,,"Several large potholes on N. 40th St., just north of Portage and just south of Calumet.  The two largest potholes are just south of Calumet.  (Note the street is called 39th at Portage, but 40th at Calumet.  Confusing.)","N. 40th St., just north of Portage and just south of Calumet.  The two largest potholes are just south of Calumet.  (Notee",,0,False,,
2020-05-26,"300 E HOWARD AV, MILWAUKEE, WISCONSIN, 53207-3924",Pothole,,Caller states several potholes on the 300 to 900 block of E Howard ave. Thank you,Howard Ave,,0,False,,
2020-09-04,"200 N HARBOR DR, MILWAUKEE, WISCONSIN, 53202-5901",Pothole,,Large pothole in street on Harbor on street behind theatre. Caller got injured riding his bicycles on road.,Harbor Street,,0,False,,
2020-07-15,"4669 N 28TH ST, MILWAUKEE, WISCONSIN, 53209-6136",Pothole,,Caller states really large pothole on 28th and Courtland that needs to be filled. Thank you,"28th Street, Courtland Street",,0,False,,
2021-02-26,"1802 E HOWARD AV, 1, MILWAUKEE, WISCONSIN, 53207-4000",Pothole,,"W.Howard Ave so. So. 6th  st. / to city limits east 
E Howard Ave city limits east /  to so. 3rd.st.                 A    lot of pothole to be filled","Howard Ave, 6th Street, 3rd Street",,0,False,,
2020-08-26,"11612 W GREEN TREE RD, MILWAUKEE, WISCONSIN, 53224-4211",Sanitation Inspector Notification,,"Caller reporting multiple signs on the curb and sidewalk from a private realty company, asking to have signs removed. Signs are on green tree rd and also on 115th st.","Green Tree Street, 115th Street",,0,False,,
2020-07-16,"2125 N 42ND ST, MILWAUKEE, WISCONSIN, 53208-1306",Sanitation Inspector Notification,,My recycling bins are being left in the street after the crew empties the cart. All Iäó»m asking is they return them to the place of origin. This is my second request.,0,,0,False,,
2020-09-22,"1034 W HADLEY ST, MILWAUKEE, WISCONSIN, 53206-3239",Sanitation Inspector Notification,,"Caller reports excessive uncontained garbage throughout alley between 11th and 10th Streets, the 2800 block. Please Survey.","10th Street, 11th Street",,0,False,,
2020-05-27,"3052 N 37TH ST, MILWAUKEE, WISCONSIN, 53210-0000",Sanitation Inspector Notification,,Caller stating residents at 3055 n 36th st are illegally dumping on city vacant lot. Also a lot of debris behind 3055 in the alley.,36th Street,,0,False,,
2020-11-12,"9100 W CALUMET RD, MILWAUKEE, WISCONSIN, 53224-0000",Sanitation Inspector Notification,,Mattress and 2 chairs - address is approx. 1 block West of 91st St.  on grass.,91st Street,,0,False,,
2020-09-11,"2446 N 46TH ST, MILWAUKEE, WISCONSIN, 53210-2918",Sanitation Inspector Notification,,PER CALLER MORE ILLEGAL DUMPING OF LARGE FURNITURE ITEMS AGAINST GARAGE AFFECTING ALLEY AND ITS GETTING CLOSE TO MY PROPERTY 2443 N 45TH ST SEE REC 4498667,45th Street,,0,False,,
2020-10-30,"5600 W SHERIDAN AV, MILWAUKEE, WISCONSIN, 53218-3243",Sanitation Inspector Notification,,Caller states there is a couch in the middle of the street on the corner of 56th and Sheridan. Thank you,"56th Street, Sheridan Street",,0,False,,
2020-10-13,"6763 N 55TH ST, MILWAUKEE, WISCONSIN, 53223-5911",Sanitation Inspector Notification,,"Caller reports excessive garbage throughout neighborhood block. Please survey.
Also N 56th and N 57th off of W Green Tree Rd.","56th Street, 57th Street, Green Tree Road",,0,False,,
2020-11-19,"4245 N 75TH ST, MILWAUKEE, WISCONSIN, 53216-1001",Sanitation Inspector Notification,,Caller states box spring and mattress in alleyway blocking traffic in the 4200 block of North 75th street.,75th Street,,0,False,,
2020-09-14,"3049 N 55TH ST, MILWAUKEE, WISCONSIN, 53210-1564",Sanitation Inspector Notification,,"Painters next door dumped paint in street, next to curb. Caller scrubbed in front of his house but there's still a lot of paint.",0,,0,False,,
2020-06-19,"3011 W STATE ST, MILWAUKEE, WISCONSIN, 53208-3400",Sanitation Inspector Notification,,"Approx area, in 1-way dead end alley between Kilbourn & State, enter from 31st, others (not church) dumped mattress & boxspring overnight half blocking west end of alley & church's private dumpster's access. ID withheld.","Kilbourn Street, State Street",,0,False,,
2020-10-27,"8305 W CENTER ST, MILWAUKEE, WISCONSIN, 53222-0000",Sanitation Inspector Notification,,Someone dumped 2 box springs and queen size mattress on curb; Southwest Corner of 83rd and Center;,"83rd Street, Center Street",,0,False,,
2020-07-17,"1626 N MAYFLOWER CT, MILWAUKEE, WISCONSIN, 53205-2265",Sanitation Inspector Notification,,Rec #4463550 - Caller states on 7th st between Walnut and Galena someone dumped a G-cart full of trash as well as other debris on the sidewalk. Thank you,7th Street,,0,False,,
2020-08-26,"2481 W VLIET ST, MILWAUKEE, WISCONSIN, 53205-1833",Sanitation Inspector Notification,,Says City g-cart inside secure fence off on 25th St at Auto body shop with no residential units. ID Withheld.,25th Street,,0,False,,
2020-07-06,"8825 W LAWRENCE AV, MILWAUKEE, WISCONSIN, 53225-5034",Sanitation Inspector Notification,,"Caller reports illegal dumping, trash and debris- misc items. States the whole alley of 8800 block of West Florence AV needs inspected. Please inspect.",Flawrence Ave,,0,False,,
2020-10-26,"8750 W FAIRY CHASM DR, MILWAUKEE, WISCONSIN, 53224-1814",Sanitation Inspector Notification,,Approximate address. Caller stated there is a couple of old couches that were dumped on the curb. One couch is closer to Swan Rd and the other is closer to Joyce Ave. Both on south side of Fairy Chasm Rd,"Swan Road, Joyce Ave",,0,False,,
2020-10-29,"4302 W CAPITOL DR, MILWAUKEE, WISCONSIN, 53216-1539",Sanitation Inspector Notification,,Garbage is scattered all along 51st & Capitol Drive down to Green Bay Ave & Capitol Drive; Caller would like a community clean up option if possible;,"51st Street, Capitol Drive, Green Bay Ave, Capitol Drive",,0,False,,
2020-08-27,"2859 N 23RD ST, MILWAUKEE, WISCONSIN, 53206-0000",Sanitation Inspector Notification,,"Caller states furniture, trash and debris in the alleyway between North 23rd and 24th street and on city vacant lots down the 2800 block of North 23rd street. Request for who;e alley way to be inspected.  Please inspect.","23rd Street, 24th Street",,0,False,,
2020-08-18,"3056 N 80TH ST, MILWAUKEE, WISCONSIN, 53222-4913",Sanitation Inspector Notification,,"Caller states mattress, and debris in the alley between 79th and 80th Street of the 3000 block. Please inspect.","79th Street, 80th Street",,0,False,,
2020-09-15,"3307 N 13TH ST, MILWAUKEE, WISCONSIN, 53206-2849",Sanitation Inspector Notification,,3317 and 3327 n 13th st. caller states neighbors have trash in front of house and alley,13th Street,,0,False,,
2020-09-21,"2862 N 41ST ST, MILWAUKEE, WISCONSIN, 53210-1810",Sanitation Inspector Notification,,"Caller states furniture, trash and other misc items down the alleyway of the 2800 block of North 41st Street. Please inspect.",41st Street,,0,False,,
2020-07-20,"2130 N 29TH ST, MILWAUKEE, WISCONSIN, 53208-1527",Sanitation Inspector Notification,,"Caller reports trash, debris and overflowing carts in alleyway of the 2100 block of North 29th Street. States whole alley needs to be inspected. Please inspect.",29th Street,,0,False,,
2020-11-19,"7043 N 107TH ST, MILWAUKEE, WISCONSIN, 53224-4301",Sanitation Inspector Notification,,Leftover construction debris on the corner of W Fond Du Lac Ave east of N 107th St; needs to get cleaned up,Fond Du Lac Ave,,0,False,,
2020-09-29,"8201 N 87TH ST, MILWAUKEE, WISCONSIN, 53224-2804",Sanitation Inspector Notification,,"caller states someone dumped branches, water hose, car bumper, and misc. trash in middle of street. called into city hall",0,,0,False,,
2020-08-17,"2004 N 28TH ST, MILWAUKEE, WISCONSIN, 53208-1517",Sanitation Inspector Notification,,Caller reports move out items dumped on the corner of North 28th and West Brown Street. Please inspect.,"28th Street, West Brown Street",,0,False,,
2020-09-11,"4676 N 78TH ST, MILWAUKEE, WISCONSIN, 53218-4645",Sanitation Inspector Notification,,"Caller would like to report 2 houses with an excessive amount of garbage carts, one property at 4676 has 7 carts and the other one at 4684 n 78th st has 4 garbage carts.",78th Street,,0,False,,
2020-08-26,"5500 N 54TH ST, MILWAUKEE, WISCONSIN, 53218-3337",Sanitation Inspector Notification,,Caller states there is a large pile of brush in the street in front of this address. Thank you,0,,0,False,,
2020-10-29,"2934 N 10TH LA, MILWAUKEE, WISCONSIN, 53206-3264",Sanitation Inspector Notification,,Garbage and debris dumped in alley. Please inspect both alley and on this particular street. Garbage debris in LANE area.,0,,0,False,,
2020-08-24,"2958 N 2ND ST, MILWAUKEE, WISCONSIN, 53212-0000",Sanitation Inspector Notification,,"Landlord Contacted. Massive unit move-out dump from 2958 2nd St. Historical issue at this property, rear of bldg. Apartment Manager unreachable, voicemail full.",2nd Street,,0,False,,
2021-12-11,"4534 S GRIFFIN AV, MILWAUKEE, WISCONSIN, 53207-5864",Sanitation Inspector Notification,,6ft tree branch & various branches fell due to wind. Located by curb on side of house on ARMOUR AVE.,Armour Ave,,0,False,,
2020-10-30,"6550 N 76TH ST, MILWAUKEE, WISCONSIN, 53223-6104",Sanitation Inspector Notification,,continuous dumping behind strip mall on 76th and Acacia.  Near the ravine.  City property??  Please pick up items.  Thanks.,"76th Street, Acacia Street",,0,False,,
2020-10-23,"3957 N 52ND ST, MILWAUKEE, WISCONSIN, 53216-2309",Sanitation Inspector Notification,,Caller stated that it looks like someone illegally dumped 2 large piles of leaves and pine tree branches on the street (close to the curb) in front of this address. Stated the piles are larger than 2 cubic yards.,0,,0,False,,
2020-11-10,"3362 S 58TH ST, MILWAUKEE, WISCONSIN, 53219-4332",Street Light Out,,Street light was previously repaired a week ago and now light is out again across from address listed; needs repair,0,,0,False,,
2020-08-10,"3400 N 78TH ST, MILWAUKEE, WISCONSIN, 53222-3922",Street Light Out,,Street light it out and would like to discuss. Please NOTE: Resident WOULD LIKE A CALL BACK HERE.,0,,0,False,,
2020-12-02,"2225 E LINNWOOD AV, MILWAUKEE, WISCONSIN, 53211-3322",Street Light Out,,Second request for street light between Maryland and Farwell on Linnwood next to the alley going South that is out and has not been replaced.,"Maryland Street, Farwell Street, Linnwood Street",,0,False,,
2020-09-14,"3637 S 83RD ST, MILWAUKEE, WISCONSIN, 53220-1029",Street Light Out,,"The street lights for my block have not come on for the last 3 nights, started on September 11 and they are still off tonight September 13.",0,,0,False,,
2020-10-13,"5675 S 23RD ST, MILWAUKEE, WISCONSIN, 53221-4207",Street Light Out,,Two street light out for two nights on the northeast and northwest corners of the intersection of South 23rd street and West Parnell Av.,"23rd Street, West Parnell Ave",,0,False,,
2022-02-25,1328 N 45TH ST,Street Light Out,2022-02-25,POLICE CALL 220560080 // 1328 N 45TH ST EAST CURB LINE LINE // LIGHT BEHAVIOR OFF,45th Street,,0,False,,
2020-07-12,"3401 N BARTLETT AV, MILWAUKEE, WISCONSIN, 53211-2802",Street Light Out,,Several (5+ ?) street lights out on the southern part of the 3400 block of N. Bartlett,Bartlett Ave,,0,False,,
2022-06-15,"4430 N 56TH ST, MILWAUKEE, WI, 53218-5606",Street Light Out,,"street light is out in front of the house.  has been for a long time, requested new light many times but no one will replace it.  Need it replaced as it is very dark due to the light being out.",0,,0,False,,
2020-05-29,"2741 S 53RD ST, MILWAUKEE, WISCONSIN, 53219-3266",Street Light Out,,Street Light at 2741 S 53rd St is out. All other street lights on S 53rd St are working.,53rd Street,,0,False,,
2020-09-28,"5735 N 39TH ST, MILWAUKEE, WISCONSIN, 53209-3911",Street Light Out,,On N. 39th st between Florist and Thurston the street lights do not turn on when they are supposed to. They have been out for 2 days now.,39th Street,,0,False,,
2020-06-11,"2812 N 5TH ST, MILWAUKEE, WISCONSIN, 53212-0000",Street Light Out,,"3 lamps out, not area dark, two across street from each other, 2812 & 2813 N 5th St. And 3rd lamp out on Hadley, between Vel R Phips & 5th St also.",5th Street,,0,False,,
2022-02-25,1347 N 44TH ST,Street Light Out,2022-02-25,POLICE CALL 220560080 // 1347 N 44TH ST EAST CURB LINE LINE // LIGHT BEHAVIOR OFF, 44th Street,,0,False,,
2021-11-03,"7909 W LORRAINE PL, MILWAUKEE, WISCONSIN, 53222-4936",Street Light Out,,Street lights on Lorraine Place and 79th street have been out for the past few days.,79th Street,,0,False,,
2020-09-17,"5612 S 20TH ST, MILWAUKEE, WISCONSIN, 53221-4317",Street Light Out,,"3 lights out- one at approximately 5612 S 20 middle of blvd deer crossing sign on pole, two others at 5628 S 20th lights on both sides of the street",20th Street,,0,False,,
2021-11-13,"2100 S BAY ST, MILWAUKEE, WISCONSIN, 53207-1208",Street Light Out,,Multiple street lights out along on-ramp to and on the Lincoln Ave access Road. One light cycles on and off.,Lincoln Ave,,0,False,,
2020-09-01,"7438 W MORGAN AV, MILWAUKEE, WISCONSIN, 53220-1128",Street Light Out,,2 street lights out. One in median near this address as well as the next light east of it are out.,0,,0,False,,
2020-06-12,"5804 W ELLIOTT CR, MILWAUKEE, WISCONSIN, 53208-1046",Street Light Out,,The street light in front of our house has been out for the past two (wed and thurs) nights.,0,,0,False,,
2020-09-18,"1219 N JACKSON ST, 101, MILWAUKEE, WISCONSIN, 53202-2642",Street Light Out,,Intersection of Juneau and Milwaukee Street first light West on Juneau on North Side of street next to Grace Lutheran Church is out!,"Juneau Street, Milwaukee Stree",,0,False,,
2020-11-20,"1924 W HIGHLAND AV, 1101, MILWAUKEE, WISCONSIN, 53233-1137",Street Light Out,,"Light is on 18th Street. 
2nd request. Light has been out for over a year according to resident.",18th Street,,0,False,,
2021-12-16,"3761 N 82ND ST, MILWAUKEE, WISCONSIN, 53222-2933",Street Light Out,,Tree limb blocking 82nd St at south end of block towards Nash ST. School bus & other vehicles  u-turning or backing up at both ends of block.,82nd St,,0,False,,
2022-02-25,1230 N 45TH ST,Street Light Out,2022-02-25,POLICE CALL 220560080 // 1230 N 45TH ST EAST CURB LINE LINE // LIGHT BEHAVIOR OFF,45th Street,,0,False,,
2020-06-16,"2835 N 90TH ST, MILWAUKEE, WISCONSIN, 53222-4610",Street Light Out,,"In the 2800 block of N 90th St there are two street lights out about mid-block, one on the east side of the street and one on the west side of the street.",90th Street,,0,False,,
2020-11-10,"1600 N FARWELL AV, MILWAUKEE, WISCONSIN, 53202-0000",Street Light Out,,Multiple street lights are out on 1600 Block of N Farwell Ave; 1 on west side of block and 2 on the east side of block;,Farwell Ave,,0,False,,
2020-12-02,"2451 W KILBOURN AV, MILWAUKEE, WISCONSIN, 53233-1512",Street Light Out,,The street light positioned slightly west of 2451 w kilbourn is out and bulb possibly needs replaced.,Kilbourn Ave,,0,False,,
2020-10-06,"1525 N 24TH ST, MILWAUKEE, WISCONSIN, 53205-1805",Street Light Out,,"on W Cherry St side of address, 1st light on W Cherry St, few wks out",Cherry Street,,0,False,,
2022-11-28,"2470 N 55TH ST, MILWAUKEE, WI, 53210-2743",Street Light Out,,"Approx area, on Wright Street side, 55th to 56th, street light out mid block North street side at least 1 week.","55th Street, 56th Street",,0,False,,
2020-09-09,"814 N 26TH ST, MILWAUKEE, WISCONSIN, 53233-1508",Street Light Out,,The street light has been out for almost a year. This light is important for street safety.,0,,0,False,,
2022-10-18,1933 W HIGHLAND AV,Street Light Out,2022-10-19,6 street lights on West Highland Blvd from N 20th ST to N 17th ST - four out at the intersection of Highland and 20th       Thank You!," Highland Blvd, 20th Street, 17th Street",,0,False,,
2020-07-05,6901 W CAPITOL DR,Street Light Out,,Single street light across from 3957 N. 69th St (east side of street) appears burned out.  Can you please repair?  Thanks  Tom Nielsen 414-461-8683 tmnielsen@earthlink.net,69th Street,,0,False,,
2020-11-27,"3635 N 80TH ST, MILWAUKEE, WISCONSIN, 53222-2919",Street Light Out,,Street lights not working on 80th street. Street lights not working around Nash Park. This is the 2nd night of no street lights,80th Street,,0,False,,
2022-09-14,"2732 N 88TH ST, MILWAUKEE, WI, 53222-4646",Street Light Out,2022-09-15,"This is my 5th time reporting this light that has been out for 2 weeks now
PLEASE FIX",0,,0,False,,
2020-10-07,"2604 N 37TH ST, MILWAUKEE, WISCONSIN, 53210-2527",Street Light Out,,Street light is a hanging fixture over the intersection of N 37th S and W Clarke St," 37th Street, Clarke Street",,0,False,,
